繁體中文,简体中文,英文,註解
最大值,最大值,maximum,
多媒體控制介面 (MCI),多媒体控制介面 (MCI),mci,
MDI 表單,MDI 表单,mdi Form,
MDI,MDI,mdi,
多重文件介面 (MDI),多重文件介面 (MDI),mdi,
測量性事件,测量性事件,measured event,
機制,机制,mechanism,
媒體布局,媒体布局,media layout,
成員名稱,成员名称,member Name,
成員選項,成员选项,member Options,
成員存取運算子,成员访问运算符,member access operator,
成員取用運算子,成员存取运算符,member access operator,有 dot 和 arrow 兩種
成員函式,成员函数,member function,
成員函式,成员函数,member function,
成員初始值清單,成员初始值列表,member initialization list,
成員類型,成员类型,member type,
成員變數,成员变量,member variable,
成員,成员,member,
成員存取控制,成员访问控制,member-access control,
成員資格條件,成员资格条件,membership condition,
成員逐一複製,成员逐一复制,memberwise copy,
成員逐一,成员逐一,memberwise,
備忘,备忘,memo,
記憶體分派,内存分派,memory allocation,
記憶體區塊,内存列块,memory block,
記憶體快取基底物件,内存缓存基底对象,memory cache base object,
記憶體裝置內容,内存设备内容,memory device context,
無足夠的記憶體,内存不够,memory is not enough,
記憶體布局,内存布局,memory layout,
記憶體遺漏,内存遗漏,memory leak,
記憶體模型,内存模型,memory model,
記憶體物件,内存对象,memory object,
記憶體使用量差異,内存使用增量,memory use delta,
記憶體,内存,memory,
功能表列,菜单栏,menu bar,
功能表控制項,菜单控件,menu control,
功能表項目,菜单项,menu item,
功能表程式集,菜单程序,menu programs,
功能表資源,菜单资源,menu resource,
功能表,菜单,menu,
功能表項目識別碼,菜单项标识码,menu-item identifier,
訊息方塊,消息方块,message box,
訊息中斷點,消息断开点,message breakpoint,
訊息萃取器,消息萃取器,message cracker,
訊息檔案,消息文件,message file,
訊息過濾器,消息过滤器,message filter,
訊息處理常式,消息处理常式,message handler,
訊息處理,消息处理,message handling,
信件標頭,信件标头,message header,
訊息迴圈,消息回圈,message loop,
訊息對映,消息映射,message map,
訊息封裝,消息封装,message packing,
訊息幫浦,消息帮浦,message pump,
訊息佇列,消息队列,message queue,
訊息佇列,消息队列,message queuing,
訊息反映,消息反映,message reflection,
訊息接收,消息接收,message sink,
訊息,消息,message,info: 信息 message: 消息
訊息驅動,消息驱动,message-driven,
訊息處理函式,消息处理函数,message-handler function,
訊息對映項,消息映射项,message-map entry,
訊息對映巨集,消息映射宏,message-map macro,
訊息應用程式發展介面 (MAPI),信息应用程序发展介面 (MAPI),messaging Application Programming Interface,
中繼標記,中继标志,meta tag,
中繼內容,中继内容,meta-content,
中繼資料,中继数据,metadata,
中繼檔案,图元文件,metafile,
計量表控制項,计量表控件,meter Control,
方法,方法,method,
使用方式,用法,method,
度量資訊,度量信息,metric,
微電腦,微机,micro computer,
滑鼠中間鍵,鼠标中间键,middle mouse button,
中介層,中介层,middle tier,
中階,中端,middleend,
MIDI 方案,MIDI 方案,midi scheme,
轉換精靈,转换向导,migration wizard,
小型傾印,小型倾印,minidump,
最少重建,最少重建,minimal rebuild,
公釐,毫米,minimeter,
所有視窗縮到最小,最小化所有窗口,minimize all the windows,
最小化按鈕,最小化按钮,minimize button,
啟動時縮到最小,启动时最小化,minimize when system startup,
縮到最小,最小化,minimize,
最小化視窗,最小化窗口,minimized window,
最小化的,最小化的,minimized,
次要版本號碼,次要版本号码,minor version number,
分,分,minute,
鏡像表,镜像表,mirror list,
雜項,杂项,misc,
雜項,杂项,miscellaneous,
不符合,不符合,mismatch,
遺漏,遗漏,missing,
助憶符號,助记符,mnemonics,
強制回應,强制响应,modal,
模式,模式,mode,
型號,型号,model,用於機器型號
模型,模型,model,
非強制回應表單,非强制响应表单,modeless form,
非強制回應,非强制响应,modeless,
塑模語言,建模語言,modeling language,
塑模工具,建模工具,modeling tool,
模塑,模塑,modeling,
數據機連線,调制解调器连接,modem connection,
數據機,调制解调器,modem,
輔助按鍵,辅助按键,modifier key,
修飾詞,修饰词,modifier,
模組,模块,module,
模組定義檔案,模块定义文件,module-definition file,
模組層次,模块层次,module-level,
週一,周一,monday,
單音,单音,mono,
單語言,单语言,monolingual,
等寬字型,等宽字体,monospace font,
月曆控制項,月历控件,month calendar control,
馬賽克,马赛克,mosaic,
最大顯著性位元組,最大显著性字节,most Significant Byte,
最末層衍生類別,最底层的派生类,most derived class,
滑鼠捕捉,鼠标捕捉,mouse capture,
滑鼠事件,鼠标事件,mouse event,
滑鼠訊息,鼠标信息,mouse message,
滑鼠指標訊息告知,鼠标指标信息告知,mouse pointer notifications,
滑鼠,鼠标,mouse,
移動檔案,文件移动,move file,
移動資料夾,文件夹移动,move folder,
工具下移,工具下移,move tool down,
工具上移,工具上移,move tool up,
電影檔案,电影文件,movie file,
多重程式碼匯入/匯出,多重程序代码导入/导出,multi-Code Import/Export,
多維式,多维式,multi-Dimensional,
多語言,多语言,multi-language,
多重連結的鍊結,多重链接的链结,multi-link chain,
多線程,多线程,multi-thread,
多線程,多线程,multi-threaded,
多使用者環境,多用户环境,multi-user environment,
多重卷輯壓縮,多重卷标压缩,multi-volumn compression,
多位元組字元集 (MBCS),多字节字符集 (MBCS),multibyte character set,
多位元組字碼頁,多字节代码页,multibyte code page,
多點傳送,多点发送,multicasting,
多維,多维,multidimensional,
多行編輯控制項,多行编辑控件,multiline edit control,
多語言,多语言,multilingual,
Multilink PPP,Multilink PPP,multilink PPP,
多重對映,多重映射,multimap,
多媒體控制項,多媒体控件,multimedia control,
多重組態,多重配置,multiple configurations,
多重文件介面 (MDI),多重文件介面 (MDI),multiple document interface,
多重文件資料類型,多重文件数据类型,multiple document types,
多重檔案,多重文件,multiple files,
多重選取,多重选定,multiple selection,
多重,多重,multiple,
多行編輯控制項,多行编辑控件,multiple-line edit control,
多重選擇清單方塊,多重选择列表方块,multiple-selection list box,
多工,多工,multiplex,通訊業硬體
多路傳輸,多路传输,multiplex,網路軟體、電路圖
多工器,多工器,multiplexr,通訊業硬體
乘法,乘法,multiplication,
乘法類運算子,乘法类运算符,multiplicative operator,
多用途網際網路郵件延伸標準 (MIME),多用途互联网邮件扩展标准 (MIME),multipurpose Internet Mail Extensions,
多重集,多重集,multiset,
多線程 (MTA),多线程 (MTA),multithreaded apartment model,
多線程應用程式,多线程应用程序,multithreaded application,
多使用者,多用户,multiuser,
多重檢視,多重查看,multiview,
可變的,可变的,mutable,
Mutex 物件,Mutex 对象,mutex object,
互斥,互斥,mutually exclusive,
我的文件,我的文档,my document,
我的最愛,收藏夹,my favorite,
我的專案,我的项目,my projects,
Naked,Naked,naked,
僅顯示名稱,仅显示名称,name Only,
名稱裝飾,名称装饰,name decoration,
名稱,名称,name,
具名引數,具名参量,named argument,
命名的書籤,命名的书签,named bookmark,
具名參數,具名参数,named parameter,
具名使用權限集合,具名使用权限集合,named permission set,
具名管道,具名管道,named pipe,
命名循序項,命名循序项,named sequence,
命名空間干擾,命名空间干扰,namespace pollution,
命名空間,命名空间,namespace,
命名規格,命名规格,naming conventions,
名稱方案,名称方案,naming scheme,
窄頻,窄带,narrow band,
美國國家超級電腦應用中心 (NSCA),美国国家超级计算机应用中心 (NSCA),national Center for Supercomputer Application,
國家語言支援,国家语言支持,national language support,
原生碼,原生码,native code,
原生資料,原生数据,native data,
自發性錯誤,自发性错误,native error,
原生,原生,native,
巡覽列,巡览列,navigation bar,
巡覽介面,巡览介面,navigation interface,
巡覽鍵,巡览键,navigation keys,
巡覽結構,巡览结构,navigation structure,
巡覽,巡览,navigation,
近程指標,近程指标,near pointer,
巢狀,嵌套法,nest,
巢狀類別,嵌套类,nested class,
巢狀框架,嵌套框架,nested frames,
巢狀類型,嵌套类型,nested type,
巢狀,嵌套,nested,
巢狀層次,嵌套层次,nesting level,
網路負載平衡,网络负载平衡,network Load Balancing,
網路卡,网卡,network adapter,
網路位址轉譯,网络地址转译,network address translation,
網路卡,网卡,network card,
網路連線,网络连接,network connection,
網路上的芳鄰,网上邻居,network neighborhood,
網路服務供應商,网络服务供应商,network service provider,
網路,网络,network,
網路元件,网络组件,networking components,
中性,中性,neutral,
永遠不,从不,never,
新增超然的工具列,新建超然的工具栏,new detached Toolbar,
新的磁片,新盘,new disk,
新增項目,新建项目,new element,
新資料夾,新文件夹,new folder,
新增水平索引標籤群組,新建水平选项卡组,new horizontal tab group,
新增索引鍵,新建索引键,new key,
New 關鍵字,New 关键字,new keyword,
新增巨集命令,新建宏命令,new macro Command,
新信件,新邮件,new mail,
新的密碼,新密码,new password,
新增專案,新建项目,new project,
重新搜尋,新搜索,new search,
新增工具列,新建工具栏,new toolbar,
開新視窗,开新窗口,new window,
新增視窗,新窗口,new window,
新增(&N),新建(&N),new,只用於功能表
新增,新建,new,
新增,新建,new,
NewData 引數,NewData 参量,newdata argument,
新行字元,新行字符,newline character,
新行,新行,newline,
下一幀,下一帧,next frame,
下一筆,下一条,next record,
Next 陳述式,Next 陈述式,next statement,
下一個曲目,下一曲目,next track,
沒有選擇,未选定,no select,
No-Access 位元組,No-Access 字节,no-access Bytes,
非客戶端,非客户端,non-Client,
非字串,非字符串,non-String,
非磁片檔案,非软盘文件,non-disk file,
非內建 OLE,非内置 OLE,non-intrinsic OLE,
非內建,非内置,non-intrinsic,
非強制回應表單,非强制响应表单,non-modal form,
隱藏式,隐藏式,non-visual,
非彙總物件,非汇总对象,nonaggregated object,
非工作區,非工作区,nonclient area,
非整數類運算式,非整数类表达式,nonintegral expression,
未分頁集區位元組,未分页集区字节,nonpaged Pool Bytes,
非數值類值,非数值类值,nonscalar value,
非靜態成員函式,非静态成员函数,nonstatic member function,
非靜態變數,非静态变量,nonstatic variables,
非靜態,非静态,nonstatic,
非系統鍵,非系统键,nonsystem key,
非零值,非零值,nonzero,
標準拖曳,正常拖放,normal drag,
正常性執行,正常性运行,normal execution,
正確起始,正常初始化,normal initialing,
標準選取,正常选定,normal select,
標準視窗,常规窗口,normal window,
一般,常规,normal,
無法使用,不可用,not available,
找不到,未找到,not found,
筆記型電腦,笔记本电脑,notebook,
告知服務,告知服务,notification Service,
告知訊息,告知信息,notification message,
